name,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Bryan Gil Salvatierra,2,MID,50,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Bryan Gil Salvatierra,3,MID,49,0.0,-100.0,0.0,1,0.0,0.0,0.0,0
Bryan Mbeumo,1,MID,80,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,2
Bryan Mbeumo,2,MID,80,0.0,-10.0,10.0,0,8.1,90.0,2.0,2
Bryan Mbeumo,3,MID,80,1.0,60.0,50.0,1,7.333333333333334,90.0,2.0,10
Bukayo Saka,1,MID,100,1.0,250.0,190.0,0,0.0,0.0,0.0,3
Bukayo Saka,2,MID,100,2.0,250.0,240.0,1,3.5,90.0,3.0,6
Bukayo Saka,3,MID,99,-1.0,-30.0,10.0,0,5.4,77.33333333333334,4.0,0
Caleb Kporha,1,DEF,40,-1.0,-90.0,40.0,0,0.0,0.0,0.0,0
Caleb Kporha,2,DEF,40,0.0,-60.0,-70.0,1,0.0,0.0,0.0,0
Caleb Kporha,3,DEF,40,0.0,-10.0,80.0,0,0.0,0.0,0.0,0
Callan McKenna,1,GK,40,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
